product_id,cell,date,méthode,statut,notes
1005012304431034,F14,2026-07-10,navigateur+scroll,OK,"6 images, specs Détails complètes"
1005007377321264,F6,2026-07-10,navigateur (navigate+JS),OK,"5 images, 3 specs"
1005007476627621,F7,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005012014156043,F8,2026-07-10,navigateur (navigate+JS),OK,"5 images, 3 specs"
1005008848496706,F9,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005008295498961,F10,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005005652496986,F15,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005008768999224,F16,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005009661849903,F17,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005006982242864,F18,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005008226493006,F22,2026-07-10,navigateur (navigate+JS),OK,"5 images, 3 specs"
1005006995593983,F23,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005008660249482,F24,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005007117128363,F25,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005010536762195,F26,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005006783135107,F30,2026-07-10,navigateur (navigate+JS),OK,"5 images, 4 specs"
1005007344985457,F31,2026-07-10,navigateur (navigate+JS),OK,"5 images, 3 specs"
1005007636231647,F32,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005005956268410,F33,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005007009738834,F34,2026-07-10,navigateur (navigate+JS),OK,"5 images, 3 specs"
1005009916306044,F38,2026-07-10,navigateur (navigate+JS),OK,"5 images, 3 specs"
1005008429890699,F39,2026-07-10,navigateur (navigate+JS),HORS-PÉRIMÈTRE,"5 images, 3 specs | narguilé détecté"
1005007540052398,F43,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005001541608902,F44,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005008632801588,F45,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005008766211192,F46,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
1005009060835350,F47,2026-07-10,navigateur (navigate+JS),OK,"5 images, 6 specs"
