product_id,position,type_visuel,output_file,taille_réelle,statut
"1005008766211192","1","Packshot studio","images-generees/1005008766211192/01-packshot-studio.png","2048x2048","regénérée"
"1005008766211192","2","Mise en situation","images-generees/1005008766211192/02-mise-en-situation.png","2048x2048","regénérée"
"1005008766211192","3","Détail macro","images-generees/1005008766211192/03-detail-macro.png","2048x2048","regénérée"
"1005008766211192","5","Infographie bénéfice","images-generees/1005008766211192/05-infographie-benefice.png","2048x2048","regénérée"
"1005009060835350","1","Packshot studio","images-generees/1005009060835350/01-packshot-studio.png","2048x2048","regénérée"
"1005009060835350","2","Mise en situation","images-generees/1005009060835350/02-mise-en-situation.png","2048x2048","regénérée"
"1005009060835350","3","Détail macro","images-generees/1005009060835350/03-detail-macro.png","2048x2048","regénérée"
"1005009060835350","4","Lifestyle contexte","images-generees/1005009060835350/04-lifestyle-contexte.png","2048x2048","regénérée"
"1005008766211192","4","Lifestyle contexte","images-generees/1005008766211192/04-lifestyle-contexte.png","2048x2048","regénérée"
"1005009060835350","5","Infographie bénéfice","images-generees/1005009060835350/05-infographie-benefice.png","2048x2048","regénérée"
